iter	Passed	Remaining
0	1	1273
1	2	1201
2	3	1168
3	7	1779
4	8	1656
5	9	1566
6	10	1504
7	11	1485
8	13	1448
9	14	1417
10	15	1405
11	16	1396
12	18	1380
13	21	1529
14	24	1582
15	25	1562
16	26	1536
17	27	1515
18	29	1499
19	30	1486
20	31	1469
21	32	1456
22	34	1445
23	39	1616
24	41	1606
25	42	1587
26	43	1569
27	44	1559
28	46	1551
29	47	1542
30	48	1528
31	52	1601
32	54	1601
33	55	1587
34	57	1575
35	58	1564
36	60	1565
37	61	1550
38	62	1533
39	63	1524
40	68	1611
41	70	1602
42	71	1591
43	72	1572
44	73	1555
45	74	1538
46	75	1522
47	76	1509
48	77	1503
49	78	1496
50	81	1524
51	83	1515
52	84	1509
53	87	1524
54	89	1532
55	90	1522
56	91	1509
57	92	1496
58	93	1484
59	94	1473
60	98	1509
61	99	1502
62	100	1495
63	101	1489
64	103	1484
65	104	1478
66	105	1474
67	108	1493
68	112	1519
69	115	1531
70	116	1522
71	117	1515
72	118	1508
73	119	1498
74	120	1488
75	121	1479
76	122	1471
77	123	1463
78	124	1456
79	130	1495
80	131	1492
81	132	1486
82	133	1473
83	135	1474
84	137	1476
85	138	1470
86	139	1465
87	143	1489
88	145	1487
89	146	1479
90	147	1471
91	148	1463
92	149	1455
93	150	1448
94	151	1441
95	152	1437
96	153	1431
97	154	1424
98	159	1453
99	161	1449
100	162	1449
101	164	1445
102	165	1440
103	167	1441
104	168	1437
105	169	1432
106	172	1443
107	173	1437
108	174	1429
109	176	1430
110	178	1432
111	179	1426
112	184	1447
113	188	1467
114	191	1472
115	192	1467
116	193	1461
117	195	1461
118	196	1456
119	197	1449
120	199	1448
121	200	1440
122	204	1455
123	205	1451
124	206	1446
125	207	1440
126	208	1432
127	209	1428
128	210	1422
129	211	1417
130	212	1411
131	213	1406
132	214	1401
133	220	1422
134	221	1419
135	223	1417
136	224	1414
137	226	1413
138	227	1410
139	229	1406
140	230	1403
141	234	1419
142	236	1414
143	237	1410
144	238	1405
145	239	1399
146	240	1395
147	241	1390
148	242	1385
149	243	1381
150	244	1377
151	250	1396
152	251	1394
153	253	1391
154	254	1387
155	255	1384
156	257	1381
157	258	1378
158	260	1375
159	263	1382
160	264	1376
161	265	1373
162	267	1375
163	269	1376
164	271	1372
165	272	1368
166	273	1363
167	274	1359
168	275	1354
169	280	1369
170	281	1366
